NY Citii Bike Data Example
The data set contains 20 observations 

tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
390,2017-06-28T15:51:00Z,2017-06-28T15:57:31Z,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,29620,Subscriber,1989,2
275,2017-06-20T08:00:54Z,2017-06-20T08:05:30Z,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29199,Subscriber,1984,1
143,2017-06-09T11:38:52Z,2017-06-09T11:41:16Z,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26283,Subscriber,1989,1
139,2017-06-22T21:19:28Z,2017-06-22T21:21:47Z,3209,Brunswick St,40.7241765,-74.0506564,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,26240,Subscriber,1988,1
232,2017-06-29T17:51:21Z,2017-06-29T17:55:13Z,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3279,Dixon Mills,40.721630142638354,-74.04996782541275,26194,Subscriber,1986,1
223,2017-06-26T09:04:01Z,2017-06-26T09:07:45Z,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26164,Subscriber,1967,2
996,2017-06-06T22:35:28Z,2017-06-06T22:52:04Z,3211,Newark Ave,40.72152515,-74.046304543,3198,Heights Elevator,40.748715945380226,-74.04044330120087,26208,Subscriber,1978,1
404,2017-06-29T18:27:32Z,2017-06-29T18:34:16Z,3203,Hamilton Park,40.727595966,-74.044247311,3275,Columbus Drive,40.71835519823214,-74.03891444206238,29253,Subscriber,1983,1
273,2017-06-14T18:37:39Z,2017-06-14T18:42:12Z,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,3213,Van Vorst Park,40.71848892,-74.047726625,29281,Subscriber,1975,2
404,2017-06-27T08:33:12Z,2017-06-27T08:39:57Z,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29496,Subscriber,1958,1
458,2017-06-27T08:34:27Z,2017-06-27T08:42:05Z,3212,Christ Hospital,40.734785818,-74.050443636,3195,Sip Ave,40.73074262530658,-74.06378388404846,29240,Subscriber,1983,1
939,2017-06-08T05:54:56Z,2017-06-08T06:10:35Z,3267,Morris Canal,40.7124188237569,-74.03852552175522,152,Warren St & Church St,40.71473993,-74.00910627,25852,Subscriber,1961,1
397,2017-06-10T17:17:36Z,2017-06-10T17:24:13Z,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,29547,Subscriber,1979,1
284,2017-06-26T18:58:40Z,2017-06-26T19:03:25Z,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29671,Subscriber,1984,1
3347,2017-06-24T09:42:31Z,2017-06-24T10:38:19Z,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,29600,Subscriber,1971,1
99,2017-06-12T21:42:31Z,2017-06-12T21:44:10Z,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,29678,Subscriber,1984,1
324,2017-06-26T21:06:34Z,2017-06-26T21:11:58Z,3273,Manila & 1st,40.721650724879986,-74.04288411140442,3203,Hamilton Park,40.727595966,-74.044247311,29525,Subscriber,1974,1
221,2017-06-13T08:04:38Z,2017-06-13T08:08:20Z,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,29657,Subscriber,1989,1
161,2017-06-25T13:17:48Z,2017-06-25T13:20:30Z,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26177,Subscriber,1975,1
198,2017-06-05T07:30:02Z,2017-06-05T07:33:21Z,3267,Morris Canal,40.7124188237569,-74.03852552175522,3184,Paulus Hook,40.7141454,-74.0335519,29539,Subscriber,NULL,0
